iter	Passed	Remaining
168	218	1075
169	219	1073
170	221	1071
171	222	1070
172	223	1069
173	224	1067
174	226	1065
175	227	1063
176	228	1061
177	229	1059
178	230	1057
179	231	1056
180	233	1054
181	234	1052
182	235	1050
183	236	1048
184	237	1046
185	238	1045
186	240	1044
187	241	1042
188	242	1041
189	244	1041
190	245	1039
191	246	1038
192	247	1036
193	249	1034
194	250	1033
195	251	1031
196	252	1029
197	253	1028
198	255	1026
199	256	1025
200	257	1023
201	258	1021
202	259	1019
203	260	1018
204	262	1016
205	263	1014
206	264	1013
207	265	1011
208	266	1009
209	267	1008
210	269	1006
211	270	1005
212	271	1003
213	272	1002
214	273	1000
215	275	998
216	276	997
217	277	995
218	278	993
219	279	991
220	280	990
221	282	988
222	283	987
223	284	985
224	285	984
225	286	982
226	288	981
227	289	979
228	290	978
229	291	976
230	292	974
231	294	973
232	295	972
233	296	970
234	297	969
235	298	967
236	300	966
237	301	964
238	302	962
239	303	961
240	304	959
241	305	958
242	307	956
243	308	955
244	309	953
245	310	952
246	312	952
247	314	953
248	316	954
249	318	955
250	320	956
251	323	958
252	325	960
253	327	960
254	329	961
255	330	961
256	333	965
257	335	965
258	336	964
259	339	964
260	340	963
261	341	961
262	342	960
263	343	958
264	345	957
265	348	960
266	349	959
267	350	957
268	351	955
269	353	954
270	354	953
271	355	952
272	357	950
273	358	949
274	359	947
275	361	947
276	362	946
277	363	945
278	365	943
279	366	941
280	367	940
281	369	939
282	370	938
283	371	936
284	372	934
285	373	933
286	374	931
287	376	931
288	378	930
289	379	929
290	380	927
291	381	926
292	383	925
293	384	924
294	386	922
295	387	920
296	388	919
297	389	917
298	391	917
299	393	917
300	394	915
301	395	913
302	396	912
303	397	910
304	399	909
305	400	907
306	401	906
307	402	905
308	404	903
309	405	902
310	407	903
311	408	901
312	409	899
313	411	898
314	412	896
315	413	895
316	415	894
317	416	892
318	417	891
319	418	889
320	419	888
321	422	888
322	423	887
323	424	885
324	425	884
325	427	882
326	428	881
327	430	881
328	431	879
329	432	878
330	433	876
331	434	875
332	436	874
333	438	873
334	439	872
335	440	870
336	441	869
337	443	867
338	444	867
339	445	865
340	447	863
341	448	862
342	449	860
343	450	859
344	452	859
345	453	858
346	455	856
347	456	854
348	457	853
349	458	852
350	460	851
351	461	849
352	462	848
353	464	846
354	465	845
355	467	845
356	468	844
357	469	842
358	471	841
359	472	839
360	473	838
361	475	837
362	476	836
363	477	835
364	479	833
365	480	831
366	482	831
367	483	830
368	485	829
369	486	827
370	487	826
371	488	824
372	490	824
373	491	822
374	492	820
375	493	819
376	494	817
377	496	816
378	498	816
379	499	815
380	501	814
381	502	812
382	503	810
383	504	810
384	506	808
385	507	807
386	508	805
387	509	803
388	510	802
389	512	801
390	514	800
391	515	799
392	516	798
393	517	796
394	519	795
395	520	794
396	521	792
397	523	791
398	524	789
399	525	788
400	527	788
401	529	787
402	530	785
403	531	784
404	532	782
405	534	781
406	535	780
407	536	779
408	538	777
409	539	775
410	540	774
411	542	773
412	543	772
413	545	771
414	546	769
415	547	768
416	548	766
417	550	765
418	551	764
419	552	763
420	553	761
421	554	760
422	556	758
423	558	758
424	559	756
425	560	755
426	561	753
427	562	752
428	564	750
429	565	749
430	566	748
431	568	747
432	569	745
433	570	744
434	571	742
435	572	741
436	574	739
437	575	738
438	576	736
439	577	735
440	579	734
441	581	733
442	582	732
443	584	732
444	586	731
445	587	729
446	588	728
447	589	726
448	591	725
449	592	723
450	593	722
451	594	720
452	595	719
453	597	718
454	598	716
455	599	715
456	600	713
457	602	712
458	603	711
459	604	709
460	605	708
461	606	706
462	608	705
463	609	703
464	610	702
465	611	700
466	612	699
467	613	697
468	615	696
469	616	695
470	617	693
471	618	692
472	620	690
473	621	689
474	622	687
475	623	686
476	624	684
477	625	683
478	627	682
479	628	680
480	629	679
481	630	677
482	631	676
483	633	674
484	634	673
485	635	671
486	636	670
487	637	669
488	638	667
489	640	666
490	641	664
491	642	663
492	643	661
493	644	660
494	645	658
495	647	657
496	648	656
497	649	654
498	650	653
499	652	652
500	653	650
501	654	649
502	655	647
503	656	646
504	657	644
505	659	643
506	660	642
507	661	640
508	662	639
509	663	637
510	665	636
511	666	635
512	667	633
513	668	632
514	669	630
515	671	629
516	672	628
517	673	626
518	674	625
519	675	623
520	677	622
521	678	621
522	679	619
523	680	618
524	681	616
525	682	615
526	684	613
527	685	612
528	686	611
529	687	609
530	688	608
531	690	607
532	691	605
533	692	604
534	693	602
535	695	601
536	697	600
537	698	599
538	699	598
539	700	596
540	701	595
541	703	594
542	704	592
543	705	591
544	709	591
545	710	590
546	711	589
547	712	588
548	714	586
549	715	585
550	716	583
551	717	582
552	718	581
553	720	579
554	721	578
555	722	577
556	724	575
557	725	574
558	726	573
559	727	571
560	728	570
561	729	568
562	731	567
563	732	566
564	733	564
565	734	563
566	735	561
567	737	560
568	738	559
569	739	557
570	740	556
571	741	555
572	743	553
573	744	552
574	745	551
575	746	549
576	747	548
577	749	546
578	750	545
579	751	544
580	752	542
581	754	541
582	755	540
583	756	538
584	757	537
585	758	536
586	760	535
587	762	534
588	763	532
589	765	531
590	766	530
591	767	529
592	768	527
593	769	526
594	771	524
595	772	523
596	773	522
597	774	520
598	776	519
599	777	518
600	778	516
601	779	515
602	781	514
603	782	513
604	783	511
605	784	510
606	786	508
607	787	507
608	788	506
609	789	504
610	790	503
611	792	502
612	793	500
613	794	499
614	795	498
615	797	496
616	798	495
617	799	494
618	800	492
619	801	491
620	803	490
621	808	491
622	809	490
623	811	488
624	813	488
625	814	486
626	816	485
627	817	484
628	818	482
629	820	481
630	821	480
631	822	479
632	824	477
633	825	476
634	827	475
635	829	474
636	832	474
637	836	474
638	838	473
639	839	472
640	841	471
641	842	470
642	844	468
643	847	468
644	852	468
645	853	467
646	854	466
647	856	465
648	857	464
649	859	462
650	862	462
651	866	462
652	868	461
653	869	460
654	872	459
655	873	458
656	874	456
657	877	456
658	881	456
659	883	455
660	885	453
661	887	452
662	888	451
663	890	450
664	894	450
665	897	450
666	899	449
667	902	448
668	903	446
669	904	445
670	906	444
671	909	444
672	912	443
673	914	442
674	916	441
675	918	440
676	919	438
677	920	437
678	924	436
679	927	436
680	929	435
681	931	434
682	933	433
683	934	431
684	935	430
685	938	429
686	941	428
687	943	427
688	945	426
689	947	425
690	948	424
691	949	422
692	951	421
693	954	420
694	957	420
695	959	419
696	962	418
697	963	416
698	964	415
699	965	413
700	967	412
701	970	411
702	973	411
703	976	410
704	978	409
705	979	407
706	980	406
707	981	404
708	984	404
709	988	403
710	990	402
711	992	401
712	993	399
713	994	398
714	996	397
715	998	395
716	1001	395
717	1004	394
718	1006	393
719	1008	392
720	1009	390
721	1010	389
722	1013	388
723	1014	386
724	1017	385
725	1020	385
726	1022	384
727	1024	382
728	1025	381
729	1026	379
730	1028	378
731	1031	377
732	1035	377
733	1036	375
734	1038	374
735	1040	373
736	1041	371
737	1043	370
738	1044	368
739	1047	367
740	1051	367
741	1053	366
742	1054	364
743	1056	363
744	1058	362
745	1059	360
746	1061	359
747	1063	358
748	1066	357
749	1067	355
750	1069	354
751	1070	353
752	1073	352
753	1076	351
754	1077	349
755	1079	348
756	1080	346
757	1081	345
758	1082	343
759	1084	342
760	1085	340
761	1086	339
762	1087	337
763	1089	336
764	1090	334
765	1091	333
766	1092	331
767	1093	330
768	1095	328
769	1096	327
770	1097	325
771	1099	324
772	1101	323
773	1103	322
774	1105	320
775	1106	319
776	1108	318
777	1109	316
778	1110	315
779	1111	313
780	1113	312
781	1114	310
782	1115	309
783	1116	307
784	1117	306
785	1119	304
786	1120	303
787	1121	301
788	1123	300
789	1124	298
790	1125	297
791	1126	295
792	1127	294
793	1128	292
794	1130	291
795	1131	289
796	1132	288
797	1133	287
798	1135	285
799	1136	284
800	1137	282
801	1138	281
802	1139	279
803	1141	278
804	1142	276
805	1143	275
806	1144	273
807	1146	272
808	1147	270
809	1148	269
810	1149	267
811	1151	266
812	1152	265
813	1154	263
814	1155	262
815	1156	260
816	1157	259
817	1159	257
818	1160	256
819	1161	254
820	1162	253
821	1163	252
822	1165	250
823	1166	249
824	1167	247
825	1168	246
826	1170	244
827	1171	243
828	1172	241
829	1174	240
830	1175	239
831	1176	237
832	1178	236
833	1179	234
834	1180	233
835	1181	231
836	1183	230
837	1184	228
838	1185	227
839	1186	226
840	1188	224
841	1189	223
842	1190	221
843	1191	220
844	1192	218
845	1194	217
846	1195	215
847	1196	214
848	1197	212
849	1198	211
850	1200	210
851	1201	208
852	1202	207
853	1204	205
854	1205	204
855	1206	202
856	1207	201
857	1208	200
858	1210	198
859	1211	197
860	1212	195
861	1213	194
862	1214	192
863	1215	191
864	1217	189
865	1218	188
866	1219	187
867	1220	185
868	1221	184
869	1222	182
870	1223	181
871	1225	179
872	1226	178
873	1227	176
874	1228	175
875	1230	174
876	1231	172
877	1232	171
878	1233	169
879	1234	168
880	1235	166
881	1237	165
882	1238	164
883	1239	162
884	1240	161
885	1241	159
886	1243	158
887	1244	156
888	1245	155
889	1246	154
890	1247	152
891	1249	151
892	1250	149
893	1251	148
894	1252	146
895	1253	145
896	1255	144
897	1256	142
898	1257	141
899	1259	139
900	1260	138
901	1261	137
902	1262	135
903	1263	134
904	1264	132
905	1265	131
906	1267	129
907	1268	128
908	1269	127
909	1270	125
910	1271	124
911	1273	122
912	1274	121
913	1275	120
914	1276	118
915	1277	117
916	1279	115
917	1280	114
918	1281	112
919	1282	111
920	1283	110
921	1285	108
922	1286	107
923	1287	105
924	1289	104
925	1290	103
926	1291	101
927	1292	100
928	1293	98
929	1295	97
930	1296	96
931	1297	94
932	1299	93
933	1300	91
934	1301	90
935	1302	89
936	1303	87
937	1305	86
938	1306	84
939	1307	83
940	1308	82
941	1309	80
942	1311	79
943	1312	77
944	1313	76
945	1314	75
946	1315	73
947	1316	72
948	1318	70
949	1319	69
950	1320	68
951	1321	66
952	1322	65
953	1323	63
954	1325	62
955	1326	61
956	1327	59
957	1328	58
958	1329	56
959	1331	55
960	1332	54
961	1333	52
962	1334	51
963	1335	49
964	1337	48
965	1338	47
966	1339	45
967	1340	44
968	1341	42
969	1342	41
970	1344	40
971	1345	38
972	1346	37
973	1347	35
974	1348	34
975	1350	33
976	1351	31
977	1352	30
978	1353	29
979	1354	27
980	1356	26
981	1357	24
982	1358	23
983	1359	22
984	1360	20
985	1362	19
986	1363	17
987	1364	16
988	1365	15
989	1366	13
990	1368	12
991	1369	11
992	1370	9
993	1371	8
994	1372	6
995	1374	5
996	1375	4
997	1376	2
998	1377	1
999	1379	0
