iter	RMSE
0	0.1376907984
1	0.1351227631
2	0.1327726932
3	0.1303789712
4	0.1280935918
5	0.125893449
6	0.1236575887
7	0.1213943903
8	0.1191126487
9	0.1171654123
10	0.1152037918
11	0.1129860943
12	0.1110766597
13	0.1092929503
14	0.107510436
15	0.105731748
16	0.1038870274
17	0.1022262748
18	0.1006931617
19	0.09906582972
20	0.09756214467
21	0.09599511716
22	0.09463207692
23	0.09338804271
24	0.09210052193
25	0.09081720175
26	0.08964622734
27	0.08841517535
28	0.08711741967
29	0.08589523547
30	0.08454717958
31	0.08351443517
32	0.08243000293
33	0.0813762855
34	0.08031246986
35	0.07916834253
36	0.07828977007
37	0.07731163633
38	0.07642202887
39	0.07565966202
40	0.07490082215
41	0.07391005622
42	0.07307825093
43	0.07232680481
44	0.07159703289
45	0.07071021393
46	0.06989902885
47	0.06901709324
48	0.0682796662
49	0.06763138012
50	0.06695416639
51	0.06634037362
52	0.06563909624
53	0.0649600774
54	0.06431435178
55	0.06373088478
56	0.06313521287
57	0.06260094685
58	0.0620198918
59	0.06140171656
60	0.06096540031
61	0.06046615958
62	0.05991607731
63	0.05932074006
64	0.05892353849
65	0.05843777428
66	0.05797602369
67	0.05758269309
68	0.05716651097
69	0.05668842798
70	0.05631893392
71	0.05600273726
72	0.05561434526
73	0.05520697771
74	0.05469744614
75	0.05432787152
76	0.05395344479
77	0.0536316771
78	0.05327441874
79	0.05295346661
80	0.05265067745
81	0.05238289434
82	0.05201930169
83	0.05168988373
84	0.05142106321
85	0.05109302957
86	0.05077860578
87	0.05042957475
88	0.05012027087
89	0.0499331663
90	0.04967732451
91	0.04943785575
92	0.04924050102
93	0.04900322398
94	0.04876019177
95	0.04849984426
96	0.04830179925
97	0.0480549362
98	0.04784820482
99	0.04765759972
100	0.04746395176
101	0.04725712938
102	0.0471289625
103	0.04696551409
104	0.04681322792
105	0.04664431351
106	0.04644435177
107	0.04627906941
108	0.04617165142
109	0.0459527589
110	0.04576215321
111	0.04559517529
112	0.04545693362
113	0.04532870965
114	0.04513820284
115	0.04495334017
116	0.04482493776
117	0.04469662393
118	0.04458779696
119	0.04445154749
120	0.0443212902
121	0.04413260077
122	0.04399713037
123	0.04387175522
124	0.04367924583
125	0.04350763844
126	0.04334747484
127	0.04320081132
128	0.04306467819
129	0.04292907869
130	0.04282220559
131	0.04264637481
132	0.0424929645
133	0.04237746964
134	0.04230130446
135	0.04220714841
136	0.04208007992
137	0.04192633051
138	0.04183183622
139	0.04171632217
140	0.04165436815
141	0.04146082387
142	0.04138530915
143	0.04129038223
144	0.04123844495
145	0.04113174915
146	0.0410434411
147	0.04092367187
148	0.04078476391
149	0.04065729661
150	0.0406067334
151	0.04054144183
152	0.04046444737
153	0.04040327863
154	0.04031315129
155	0.04018620979
156	0.04009017594
157	0.0400349773
158	0.03998424864
159	0.03991329863
160	0.03982104123
161	0.03965313757
162	0.03950625446
163	0.03941577047
164	0.03933940925
165	0.03920030088
166	0.03910499546
167	0.03903455484
168	0.03895651552
169	0.03883666201
170	0.03878258202
171	0.03867415261
172	0.03864352614
173	0.03854634288
174	0.03848054666
175	0.03839604054
176	0.03833408665
177	0.03827753304
178	0.03822054877
179	0.03811664691
180	0.03808660001
181	0.03800544878
182	0.0379105671
183	0.03777740784
184	0.03770579128
185	0.03757300526
186	0.03751502088
187	0.0374859399
188	0.03743558956
189	0.03737369618
190	0.03729872575
191	0.0371965802
192	0.03712053967
193	0.03705630835
194	0.03699358595
195	0.03691229062
196	0.03684715079
197	0.03674058377
198	0.03669075274
199	0.03658057606
200	0.03647251509
201	0.03640305476
202	0.03633698205
203	0.0362354997
204	0.03612496385
205	0.03607534295
206	0.03596560711
207	0.0358370965
208	0.03569436902
209	0.03558234271
210	0.03553542041
211	0.03541027802
212	0.03533744973
213	0.03528879127
214	0.03522830951
215	0.03509307742
216	0.03500086724
217	0.03493564186
218	0.0348418443
219	0.03477743637
220	0.03472786775
221	0.03458517206
222	0.03450499191
223	0.03445134734
224	0.03430863227
225	0.03425719676
226	0.03412891412
227	0.03404376173
228	0.0340180342
229	0.03398294618
230	0.03390660979
231	0.03384511404
232	0.0337612152
233	0.03372755662
234	0.03361102547
235	0.03352229636
236	0.03343107794
237	0.0333680768
238	0.03331402938
239	0.03324660642
240	0.03312317046
241	0.03300954816
242	0.03291746513
243	0.03287492929
244	0.03277852336
245	0.03270499526
246	0.03265992315
247	0.03260484305
248	0.03255145679
249	0.03251555674
250	0.03244857317
251	0.03240914395
252	0.03234596218
253	0.03227709011
254	0.03221560104
255	0.03213408926
256	0.0320732219
257	0.03200636441
258	0.03187240078
259	0.03182314683
260	0.03172247965
261	0.03168253357
262	0.03160429577
263	0.03150244107
264	0.03146780809
265	0.03141890917
266	0.03134554998
